Incumbent,Party,Candidate Name,Percentage,State Code,District,Vote,State
/,Republican,Pullen,2.6%,LA,5th,"5,782",Louisiana 
incumbent,Republican,Graves,80.4%,LA,6th,"189,684",Louisiana 
/,Libertarian Party,Craig,13.0%,LA,6th,"30,709",Louisiana 
/,Republican,Belzer,6.6%,LA,6th,"15,535",Louisiana 
incumbent,Democratic,Pingree,62.8%,ME,1st,"218,630",Maine 
/,Republican,Thelander,37.1%,ME,1st,"128,996",Maine 
/,/,Total Write-Ins,0.1%,ME,1st,362,Maine 
incumbent,Democratic,Golden,53.1%,ME,2nd,"165,136",Maine 
/,Republican,Poliquin,46.9%,ME,2nd,"146,142",Maine 
/,Ind.,Bond,0.0%,ME,2nd,0,Maine 
incumbent,Republican,Harris,54.5%,MD,1st,"159,673",Maryland 
/,Democratic,Mizeur,43.2%,MD,1st,"126,511",Maryland 
/,Libertarian Party,Thibeault,2.4%,MD,1st,"6,924",Maryland 
incumbent,Democratic,Ruppersberger,59.3%,MD,2nd,"159,000",Maryland 
/,Republican,Ambrose,40.7%,MD,2nd,"109,081",Maryland 
incumbent,Democratic,Sarbanes,60.2%,MD,3rd,"175,514",Maryland 
/,Republican,Morgan,39.8%,MD,3rd,"115,801",Maryland 
incumbent,Democratic,Ivey,90.3%,MD,4th,"144,204",Maryland 
/,Republican,Warner,9.7%,MD,4th,"15,441",Maryland 
incumbent,Democratic,Hoyer,66.0%,MD,5th,"182,478",Maryland 
/,Republican,Palombi,34.0%,MD,5th,"94,000",Maryland 
incumbent,Democratic,Trone,54.8%,MD,6th,"140,295",Maryland 
/,Republican,Parrott,45.2%,MD,6th,"115,771",Maryland 
incumbent,Democratic,Mfume,82.2%,MD,7th,"151,640",Maryland 
/,Republican,Collier,17.8%,MD,7th,"32,737",Maryland 
incumbent,Democratic,Raskin,80.3%,MD,8th,"211,842",Maryland 
/,Republican,Coll,18.2%,MD,8th,"47,965",Maryland 
/,Libertarian Party,Garcia,1.6%,MD,8th,"4,125",Maryland 
incumbent,Democratic,Neal,61.4%,01,1st,"153,402",Massachusetts 
/,Republican,Martilli,38.6%,01,1st,"96,499",Massachusetts 
incumbent,Democratic,McGovern,66.2%,01,2nd,"178,472",Massachusetts 
/,Republican,Sossa-Paquette,33.8%,01,2nd,"91,100",Massachusetts 
incumbent,Democratic,Trahan,63.8%,01,3rd,"145,507",Massachusetts 
/,Republican,Tran,36.2%,01,3rd,"82,628",Massachusetts 
incumbent,Democratic,Auchincloss,0,01,4th,0,Massachusetts 
incumbent,Democratic,Clark,73.8%,01,5th,"198,617",Massachusetts 
/,Republican,Colarusso,26.2%,01,5th,"70,694",Massachusetts 
incumbent,Democratic,Moulton,62.7%,01,6th,"190,062",Massachusetts 
/,Republican,May,35.4%,01,6th,"107,496",Massachusetts 
/,Libertarian Party,Tashjian,1.9%,01,6th,"5,727",Massachusetts 
incumbent,Democratic,Pressley,84.5%,01,7th,"144,902",Massachusetts 
/,Republican,Palmer,15.5%,01,7th,"26,481",Massachusetts 
incumbent,Democratic,Lynch,69.5%,01,8th,"184,084",Massachusetts 
/,Republican,Burke,30.5%,01,8th,"80,961",Massachusetts 
incumbent,Democratic,Keating,59.4%,01,9th,"193,426",Massachusetts 
/,Republican,Brown,40.6%,01,9th,"131,936",Massachusetts 
incumbent,Republican,Bergman,59.9%,03,1st,"231,652",Michigan 
/,Democratic,Lorinser,37.5%,03,1st,"144,952",Michigan 
/,/,Hakola,1.4%,03,1st,"5,480",Michigan 
/,Libertarian Party,Gale,1.2%,03,1st,"4,569",Michigan 
incumbent,Republican,Moolenaar,63.7%,03,2nd,"215,092",Michigan 
/,Democratic,Hilliard,34.3%,03,2nd,"115,710",Michigan 
/,Libertarian Party,Hewer,2.0%,03,2nd,"6,818",Michigan 
incumbent,Democratic,Scholten,54.8%,03,3rd,"186,109",Michigan 
/,Republican,Gibbs,41.9%,03,3rd,"142,321",Michigan 
/,Libertarian Party,Lewis,2.0%,03,3rd,"6,718",Michigan 
/,/,Palus,1.2%,03,3rd,"4,192",Michigan 
incumbent,Republican,Huizenga,54.4%,03,4th,"185,778",Michigan 
/,Democratic,Alfonso,42.5%,03,4th,"145,041",Michigan 
/,Libertarian Party,Wenke,2.5%,03,4th,"8,525",Michigan 
/,/,Clark,0.7%,03,4th,"2,260",Michigan 
incumbent,Republican,Walberg,62.5%,03,5th,"196,498",Michigan 
/,Democratic,Goldberg,34.9%,03,5th,"109,549",Michigan 
/,Libertarian Party,Peterson,1.6%,03,5th,"5,089",Michigan 
/,/,Scott,1.0%,03,5th,"3,116",Michigan 
incumbent,Democratic,Dingell,65.9%,03,6th,"241,763",Michigan 
/,Republican,Williams,34.1%,03,6th,"125,168",Michigan 
incumbent,Democratic,Slotkin,51.7%,03,7th,"192,828",Michigan 
/,Republican,Barrett,46.3%,03,7th,"172,619",Michigan 
/,Libertarian Party,Dailey,2.0%,03,7th,"7,276",Michigan 
incumbent,Democratic,Kildee,53.1%,03,8th,"178,318",Michigan 
/,Republican,Junge,42.8%,03,8th,"143,845",Michigan 
/,/,Goodwin,2.7%,03,8th,"9,077",Michigan 
/,Libertarian Party,Canny,1.4%,03,8th,"4,580",Michigan 
incumbent,Republican,McClain,63.9%,03,9th,"238,289",Michigan 
/,Democratic,Jaye,33.2%,03,9th,"123,692",Michigan 
/,/,Walkowicz,1.8%,03,9th,"6,570",Michigan 
/,Libertarian Party,Kelts,1.2%,03,9th,"4,349",Michigan 
incumbent,Republican,James,48.8%,03,10th,"159,203",Michigan 
/,Democratic,Marlinga,48.3%,03,10th,"157,602",Michigan 
/,/,Kirby,1.8%,03,10th,"5,905",Michigan 
/,Libertarian Party,Saliba,1.1%,03,10th,"3,524",Michigan 
incumbent,Democratic,Stevens,61.3%,03,11th,"224,080",Michigan 
/,Republican,Ambrose,38.7%,03,11th,"141,312",Michigan 
incumbent,Democratic,Tlaib,70.8%,03,12th,"196,601",Michigan 
/,Republican,Elliott,26.3%,03,12th,"72,889",Michigan 
/,/,Walkowicz,2.9%,03,12th,"8,046",Michigan 
incumbent,Democratic,Thanedar,71.1%,03,13th,"166,203",Michigan 
/,Republican,Bivings,24.0%,03,13th,"56,111",Michigan 
/,/,Coleman,3.8%,03,13th,"8,811",Michigan 
/,/,Dardzinski,1.2%,03,13th,"2,763",Michigan 
incumbent,Republican,Finstad,53.9%,MN,1st,"159,621",Minnesota 
/,Democratic,Ettinger,42.3%,MN,1st,"125,457",Minnesota 
/,/,Reisdorf,2.2%,MN,1st,"6,389",Minnesota 
/,/,Abrahamson,1.7%,MN,1st,"4,943",Minnesota 
incumbent,Democratic,Craig,51.0%,MN,2nd,"165,583",Minnesota 
/,Republican,Kistner,45.7%,MN,2nd,"148,576",Minnesota 
/,/,Overby,3.3%,MN,2nd,"10,728",Minnesota 
incumbent,Democratic,Phillips,59.6%,MN,3rd,"198,883",Minnesota 
/,Republican,Weiler,40.4%,MN,3rd,"134,797",Minnesota 
incumbent,Democratic,McCollum,67.7%,MN,4th,"200,055",Minnesota 
/,Republican,Xiong,32.3%,MN,4th,"95,493",Minnesota 
incumbent,Democratic,Omar,75.2%,MN,5th,"214,224",Minnesota 
/,Republican,Davis,24.8%,MN,5th,"70,702",Minnesota 
incumbent,Republican,Emmer,62.1%,MN,6th,"198,145",Minnesota 
/,Democratic,Hendricks,37.9%,MN,6th,"120,852",Minnesota 
incumbent,Republican,Fischbach,67.0%,MN,7th,"204,766",Minnesota 
/,Democratic,Abahsain,27.6%,MN,7th,"84,455",Minnesota 
/,/,Johnson,5.4%,MN,7th,"16,421",Minnesota 
incumbent,Republican,Stauber,57.2%,MN,8th,"188,755",Minnesota 
/,Democratic,Schultz,42.8%,MN,8th,"141,009",Minnesota 
incumbent,Republican,Kelly,73.0%,MS,1st,"122,152",Mississippi 
/,Democratic,Black,27.0%,MS,1st,"45,238",Mississippi 
incumbent,Democratic,Thompson,60.1%,MS,2nd,"108,285",Mississippi 
/,Republican,Flowers,39.9%,MS,2nd,"71,884",Mississippi 
incumbent,Republican,Guest,70.7%,MS,3rd,"132,481",Mississippi 
/,Democratic,Young,29.3%,MS,3rd,"54,803",Mississippi 
incumbent,Republican,Ezell,73.3%,MS,4th,"127,813",Mississippi 
/,Democratic,DuPree,24.6%,MS,4th,"42,876",Mississippi 
/,Libertarian Party,Johnson,2.0%,MS,4th,"3,569",Mississippi 
incumbent,Democratic,Bush,72.8%,MO,1st,"160,042",Missouri 
/,Republican,Jones,24.4%,MO,1st,"53,572",Missouri 
/,Libertarian Party,Zsidisin,2.8%,MO,1st,"6,166",Missouri 
incumbent,Republican,Wagner,54.9%,MO,2nd,"173,035",Missouri 
/,Democratic,Gunby,43.0%,MO,2nd,"135,639",Missouri 
/,Libertarian Party,Slantz,2.1%,MO,2nd,"6,486",Missouri 
incumbent,Republican,Luetkemeyer,65.2%,MO,3rd,"180,358",Missouri 
/,Democratic,Mann,34.8%,MO,3rd,"96,465",Missouri 
incumbent,Republican,Alford,71.3%,MO,4th,"181,023",Missouri 
/,Democratic,Truman,26.3%,MO,4th,"66,671",Missouri 
/,Libertarian Party,Langkraehr,2.4%,MO,4th,"6,090",Missouri 
incumbent,Democratic,Cleaver,60.9%,MO,5th,"139,882",Missouri 
/,Republican,Turk,36.5%,MO,5th,"83,794",Missouri 
/,Libertarian Party,Dominick,2.5%,MO,5th,"5,830",Missouri 
incumbent,Republican,Graves,70.3%,MO,6th,"184,070",Missouri 
/,Democratic,Martin,27.5%,MO,6th,"71,939",Missouri 
/,Libertarian Party,Maidment,2.2%,MO,6th,"5,745",Missouri 
incumbent,Republican,Burlison,70.9%,MO,7th,"177,957",Missouri 
/,Democratic,Radaker-Sheafer,26.7%,MO,7th,"67,082",Missouri 
/,Libertarian Party,Craig,2.3%,MO,7th,"5,839",Missouri 
incumbent,Republican,Smith,76.0%,MO,8th,"186,259",Missouri 
/,Democratic,McCallian,21.9%,MO,8th,"53,661",Missouri 
/,Libertarian Party,Higgins,2.1%,MO,8th,"5,175",Missouri 
incumbent,Republican,Zinke,49.6%,MT,1st,"123,102",Montana 
/,Democratic,Tranel,46.5%,MT,1st,"115,265",Montana 
/,Libertarian Party,Lamb,3.9%,MT,1st,"9,593",Montana 
incumbent,Republican,Rosendale,56.6%,MT,2nd,"121,979",Montana 
/,Ind.,Buchanan,21.9%,MT,2nd,"47,195",Montana 
/,Democratic,Ronning,20.2%,MT,2nd,"43,480",Montana 
/,Libertarian Party,Rankin,1.4%,MT,2nd,"3,018",Montana 
incumbent,Republican,Flood,58.1%,NE,1st,"127,671",Nebraska 
/,Democratic,Pansing Brooks,41.9%,NE,1st,"91,940",Nebraska 
incumbent,Republican,Bacon,51.5%,NE,2nd,"111,388",Nebraska 
/,Democratic,Vargas,48.5%,NE,2nd,"104,868",Nebraska 
incumbent,Republican,Smith,78.3%,NE,3rd,"171,967",Nebraska 
/,Democratic,Else,15.8%,NE,3rd,"34,703",Nebraska 
/,/,Elworth,5.9%,NE,3rd,"12,915",Nebraska 
incumbent,Democratic,Titus,51.6%,NV,1st,"114,916",Nevada 
/,Republican,Robertson,45.9%,NV,1st,"102,355",Nevada 
/,Libertarian Party,Cavanaugh,2.5%,NV,1st,"5,502",Nevada 
incumbent,Republican,Amodei,59.7%,NV,2nd,"181,689",Nevada 
/,Democratic,Krause,37.9%,NV,2nd,"115,186",Nevada 
/,/,Best,1.3%,NV,2nd,"4,076",Nevada 
/,Libertarian Party,Baber,1.1%,NV,2nd,"3,351",Nevada 
incumbent,Democratic,Lee,52.0%,NV,3rd,"130,237",Nevada 
/,Republican,Becker,48.0%,NV,3rd,"120,102",Nevada 
incumbent,Democratic,Horsford,52.4%,NV,4th,"115,836",Nevada 
/,Republican,Peters,47.6%,NV,4th,"105,037",Nevada 
incumbent,Democratic,Pappas,54.0%,NH,1st,"166,852",New Hampshire 
/,Republican,Leavitt,46.0%,NH,1st,"141,899",New Hampshire 
incumbent,Democratic,McLane Kuster,55.9%,NH,2nd,"171,733",New Hampshire 
/,Republican,Burns,44.1%,NH,2nd,"135,567",New Hampshire 
incumbent,Democratic,Norcross,62.3%,01,1st,"139,559",New Jersey 
/,Republican,Gustafson,35.2%,01,1st,"78,794",New Jersey 
/,Ind.,Kline,1.5%,01,1st,"3,343",New Jersey 
incumbent,Republican,Van Drew,58.9%,01,2nd,"139,216",New Jersey 
/,Democratic,Alexander,40.0%,01,2nd,"94,521",New Jersey 
/,Ind.,Gallo,0.8%,01,2nd,"1,825",New Jersey 
/,Ind.,Sanchez,0.4%,01,2nd,920,New Jersey 
incumbent,Democratic,Kim,55.5%,01,3rd,"150,497",New Jersey 
/,Republican,Healey,43.6%,01,3rd,"118,413",New Jersey 
/,Ind.,Russomanno,0.5%,01,3rd,"1,347",New Jersey 
/,Ind.,Sobocinski,0.4%,01,3rd,"1,116",New Jersey 
incumbent,Republican,Smith,66.9%,01,4th,"173,288",New Jersey 
/,Democratic,Jenkins,31.4%,01,4th,"81,233",New Jersey 
/,Ind.,Cullen,0.7%,01,4th,"1,902",New Jersey 
incumbent,Democratic,Gottheimer,54.7%,01,5th,"145,559",New Jersey 
/,Republican,Pallotta,44.3%,01,5th,"117,873",New Jersey 
/,Ind.,Marcus,0.4%,01,5th,"1,193",New Jersey 
incumbent,Democratic,Pallone,57.5%,01,6th,"106,238",New Jersey 
/,Republican,Kiley,41.0%,01,6th,"75,839",New Jersey 
/,Ind.,Fisher,0.7%,01,6th,"1,361",New Jersey 
incumbent,Republican,Kean Jr.,51.4%,01,7th,"159,392",New Jersey 
/,Democratic,Malinowski,48.6%,01,7th,"150,701",New Jersey 
incumbent,Democratic,Menendez,73.6%,01,8th,"78,371",New Jersey 
/,Republican,Arroyo,23.4%,01,8th,"24,956",New Jersey 
/,Ind.,Kuniansky,1.0%,01,8th,"1,016",New Jersey 
incumbent,Democratic,Pascrell,55.0%,01,9th,"82,457",New Jersey 
/,Republican,Prempeh,43.6%,01,9th,"65,365",New Jersey 
/,Ind.,Sherman,0.7%,01,9th,"1,108",New Jersey 
/,Ind.,Armstrong,0.7%,01,9th,"1,054",New Jersey 
incumbent,Democratic,Payne Jr.,77.6%,01,10th,"100,644",New Jersey 
/,Republican,Pinckney,20.0%,01,10th,"25,984",New Jersey 
/,Ind.,Johnson,1.5%,01,10th,"1,989",New Jersey 
incumbent,Democratic,Sherrill,59.0%,01,11th,"161,238",New Jersey 
/,Republican,DeGroot,40.2%,01,11th,"109,944",New Jersey 
/,Ind.,Biasco,0.8%,01,11th,"2,276",New Jersey 
incumbent,Democratic,Watson Coleman,63.1%,01,12th,"125,127",New Jersey 
/,Republican,Mayfield,35.9%,01,12th,"71,175",New Jersey 
/,Ind.,Genrich,1.0%,01,12th,"1,925",New Jersey 
incumbent,Democratic,Stansbury,55.8%,NM,1st,"156,386",New Mexico 
/,Republican,Garcia Holmes,44.2%,NM,1st,"124,115",New Mexico 
incumbent,Democratic,Vasquez,50.3%,NM,2nd,"96,984",New Mexico 
/,Republican,Herrell,49.7%,NM,2nd,"95,638",New Mexico 
incumbent,Democratic,Leger Fernandez,58.2%,NM,3rd,"134,195",New Mexico 
/,Republican,Martinez Johnson,41.8%,NM,3rd,"96,560",New Mexico 
incumbent,Republican,LaLota,55.9%,05,1st,"173,275",New York 
/,Democratic,Fleming,44.1%,05,1st,"136,899",New York 
incumbent,Republican,Garbarino,61.0%,05,2nd,"148,654",New York 
/,Democratic,Gordon,39.0%,05,2nd,"95,217",New York 
incumbent,Republican,Santos,54.1%,05,3rd,"142,673",New York 
/,Democratic,Zimmerman,45.9%,05,3rd,"121,094",New York 
incumbent,Republican,D'Esposito,51.9%,05,4th,"139,063",New York 
/,Democratic,Gillen,48.1%,05,4th,"129,077",New York 
incumbent,Democratic,Meeks,75.2%,05,5th,"97,981",New York 
/,Republican,King,24.8%,05,5th,"32,393",New York 
incumbent,Democratic,Meng,63.3%,05,6th,"79,506",New York 
/,Republican,Zmich,36.7%,05,6th,"46,188",New York 
incumbent,Democratic,Velazquez,80.5%,05,7th,"111,968",New York 
/,Republican,Pagan,19.5%,05,7th,"27,142",New York 
incumbent,Democratic,Jeffries,72.4%,05,8th,"93,295",New York 
/,Republican,Dashevsky,27.6%,05,8th,"35,486",New York 
incumbent,Democratic,Clarke,82.2%,05,9th,"111,162",New York 
/,/,Raitport,17.8%,05,9th,"24,143",New York 
incumbent,Democratic,Goldman,83.9%,05,10th,"149,261",New York 
/,Republican,Hamdan,15.3%,05,10th,"27,230",New York 
/,/,Speer,0.8%,05,10th,"1,357",New York 
incumbent,Republican,Malliotakis,62.1%,05,11th,"113,485",New York 
/,Democratic,Rose,37.9%,05,11th,"69,241",New York 
incumbent,Democratic,Nadler,81.7%,05,12th,"186,357",New York 
/,Republican,Zumbluskas,18.1%,05,12th,"41,264",New York 
/,/,Itkis,0.3%,05,12th,583,New York 
incumbent,Democratic,Espaillat,0,05,13th,0,New York 
incumbent,Democratic,Ocasio-Cortez,70.6%,05,14th,"78,788",New York 
/,Republican,Forte,27.5%,05,14th,"30,661",New York 
/,/,Cuellar,1.9%,05,14th,"2,128",New York 
incumbent,Democratic,Torres,82.6%,05,15th,"72,610",New York 
/,Republican,Sapaskis,17.4%,05,15th,"15,265",New York 
incumbent,Democratic,Bowman,64.2%,05,16th,"131,550",New York 
/,Republican,Flisser,35.8%,05,16th,"73,385",New York 
incumbent,Republican,Lawler,50.4%,05,17th,"142,206",New York 
/,Democratic,Maloney,49.6%,05,17th,"139,892",New York 
incumbent,Democratic,Ryan,50.5%,05,18th,"132,365",New York 
/,Republican,Schmitt,49.5%,05,18th,"129,757",New York 
incumbent,Republican,Molinaro,51.1%,05,19th,"144,075",New York 
/,Democratic,Riley,48.9%,05,19th,"137,873",New York 
incumbent,Democratic,Tonko,55.0%,05,20th,"159,015",New York 
/,Republican,Joy,45.0%,05,20th,"130,012",New York 
incumbent,Republican,Stefanik,59.4%,05,21st,"166,536",New York 
/,Democratic,Castelli,40.6%,05,21st,"113,882",New York 
incumbent,Republican,Williams,50.5%,05,22nd,"135,061",New York 
/,Democratic,Conole,49.5%,05,22nd,"132,432",New York 
incumbent,Republican,Langworthy,65.0%,05,23rd,"189,790",New York 
/,Democratic,Della Pia,35.0%,05,23rd,"102,323",New York 
incumbent,Republican,Tenney,66.4%,05,24th,"181,679",New York 
/,Democratic,Holden,33.6%,05,24th,"91,793",New York 
incumbent,Democratic,Morelle,53.6%,05,25th,"148,681",New York 
/,Republican,Singletary,46.4%,05,25th,"128,502",New York 
incumbent,Democratic,Higgins,63.9%,05,26th,"154,477",New York 
/,Republican,Sams,36.1%,05,26th,"87,189",New York 
incumbent,Democratic,Davis,52.4%,01,1st,"134,996",North Carolina 
/,Republican,Smith,47.6%,01,1st,"122,780",North Carolina 
incumbent,Democratic,Ross,64.7%,01,2nd,"190,714",North Carolina 
/,Republican,Villaverde,35.3%,01,2nd,"104,155",North Carolina 
incumbent,Republican,Murphy,66.9%,01,3rd,"166,520",North Carolina 
/,Democratic,Gaskins,33.1%,01,3rd,"82,378",North Carolina 
incumbent,Democratic,Foushee,66.9%,01,4th,"194,983",North Carolina 
/,Republican,Geels,33.1%,01,4th,"96,442",North Carolina 
incumbent,Republican,Foxx,63.2%,01,5th,"175,279",North Carolina 
/,Democratic,Parrish,36.8%,01,5th,"102,269",North Carolina 
incumbent,Democratic,Manning,53.9%,01,6th,"139,553",North Carolina 
/,Republican,Castelli,45.0%,01,6th,"116,635",North Carolina 
/,Libertarian Party,Watercott,1.1%,01,6th,"2,810",North Carolina 
incumbent,Republican,Rouzer,57.7%,01,7th,"164,047",North Carolina 
/,Democratic,Graham,42.3%,01,7th,"120,222",North Carolina 
incumbent,Republican,Bishop,69.9%,01,8th,"183,998",North Carolina 
/,Democratic,Huffman,30.1%,01,8th,"79,192",North Carolina 
incumbent,Republican,Hudson,56.5%,01,9th,"131,453",North Carolina 
/,Democratic,Clark,43.5%,01,9th,"101,202",North Carolina 
incumbent,Republican,McHenry,72.7%,01,10th,"194,681",North Carolina 
/,Democratic,Genant,27.3%,01,10th,"73,174",North Carolina 
incumbent,Republican,Edwards,53.8%,01,11th,"174,232",North Carolina 
/,Democratic,Beach-Ferrara,44.5%,01,11th,"144,165",North Carolina 
/,Libertarian Party,Coatney,1.7%,01,11th,"5,515",North Carolina 
incumbent,Democratic,Adams,62.7%,01,12th,"140,494",North Carolina 
/,Republican,Lee,37.3%,01,12th,"83,415",North Carolina 
incumbent,Democratic,Nickel,51.6%,01,13th,"143,090",North Carolina 
/,Republican,Hines,48.4%,01,13th,"134,256",North Carolina 
incumbent,Democratic,Jackson,57.7%,01,14th,"148,738",North Carolina 
/,Republican,Harrigan,42.3%,01,14th,"109,014",North Carolina 
incumbent,Republican,Kelly Armstrong,62.3%,/,/,"147,980",North Dakota 
/,Ind.,Cara Mund,37.7%,/,/,"89,371",North Dakota 
incumbent,Democratic,Landsman,52.5%,02,1st,"151,418",Ohio 
/,Republican,Chabot,47.5%,02,1st,"137,213",Ohio 
incumbent,Republican,Wenstrup,74.5%,02,2nd,"188,300",Ohio 
/,Democratic,Meadows,25.5%,02,2nd,"64,329",Ohio 
incumbent,Democratic,Beatty,70.2%,02,3rd,"174,846",Ohio 
/,Republican,Stahley,29.8%,02,3rd,"74,335",Ohio 
incumbent,Republican,Jordan,69.3%,02,4th,"196,655",Ohio 
/,Democratic,Wilson,30.7%,02,4th,"87,106",Ohio 
incumbent,Republican,Latta,67.0%,02,5th,"184,205",Ohio 
/,Democratic,Swartz,33.0%,02,5th,"90,614",Ohio 
incumbent,Republican,Johnson,67.7%,02,6th,"186,965",Ohio 
/,Democratic,Lyras,32.3%,02,6th,"89,086",Ohio 
incumbent,Republican,Miller,55.4%,02,7th,"164,904",Ohio 
/,Democratic,Diemer,44.6%,02,7th,"132,548",Ohio 
incumbent,Republican,Davidson,64.9%,02,8th,"177,132",Ohio 
/,Democratic,Enoch,35.1%,02,8th,"95,829",Ohio 
incumbent,Democratic,Kaptur,56.5%,02,9th,"147,512",Ohio 
/,Republican,Majewski,43.5%,02,9th,"113,363",Ohio 
incumbent,Republican,Turner,62.2%,02,10th,"161,792",Ohio 
/,Democratic,Esrati,37.8%,02,10th,"98,383",Ohio 
incumbent,Democratic,Brown,77.6%,02,11th,"162,154",Ohio 
/,Republican,Brewer,22.4%,02,11th,"46,862",Ohio 
incumbent,Republican,Balderson,69.5%,02,12th,"187,322",Ohio 
/,Democratic,Rippel-Elton,30.5%,02,12th,"82,101",Ohio 
incumbent,Democratic,Sykes,52.6%,02,13th,"146,621",Ohio 
/,Republican,Gesiotto Gilbert,47.4%,02,13th,"132,181",Ohio 
incumbent,Republican,Joyce,61.9%,02,14th,"180,251",Ohio 
/,Democratic,Kilboy,38.1%,02,14th,"111,155",Ohio 
incumbent,Republican,Carey,57.2%,02,15th,"140,012",Ohio 
/,Democratic,Josephson,42.8%,02,15th,"104,613",Ohio 
incumbent,Republican,Hern,61.2%,OK,1st,"142,620",Oklahoma 
/,Democratic,Martin,34.7%,OK,1st,"80,835",Oklahoma 
/,Ind.,Rogers,4.2%,OK,1st,"9,693",Oklahoma 
incumbent,Republican,Brecheen,72.4%,OK,2nd,"167,687",Oklahoma 
/,Democratic,Andrews,23.4%,OK,2nd,"54,149",Oklahoma 
/,Ind.,Robinson,4.2%,OK,2nd,"9,623",Oklahoma 
incumbent,Republican,Lucas,74.5%,OK,3rd,"147,302",Oklahoma 
/,Democratic,Ross,25.5%,OK,3rd,"50,320",Oklahoma 
incumbent,Republican,Cole,66.8%,OK,4th,"149,777",Oklahoma 
/,Democratic,Brannon,33.2%,OK,4th,"74,598",Oklahoma 
incumbent,Republican,Bice,59.0%,OK,5th,"152,567",Oklahoma 
/,Democratic,Harris-Till,37.4%,OK,5th,"96,709",Oklahoma 
/,Ind.,Frosch,3.6%,OK,5th,"9,318",Oklahoma 
incumbent,Democratic,Bonamici,68.0%,OR,1st,"210,682",Oregon 
/,Republican,Mann,32.0%,OR,1st,"99,042",Oregon 
incumbent,Republican,Bentz,67.6%,OR,2nd,"208,369",Oregon 
/,Democratic,Yetter,32.4%,OR,2nd,"99,882",Oregon 
incumbent,Democratic,Blumenauer,70.0%,OR,3rd,"212,119",Oregon 
/,Republican,Harbour,26.3%,OR,3rd,"79,766",Oregon 
/,/,Delk,3.6%,OR,3rd,"10,982",Oregon 
incumbent,Democratic,Hoyle,50.6%,OR,4th,"171,372",Oregon 
/,Republican,Skarlatos,43.1%,OR,4th,"146,055",Oregon 
/,Ind.,Leatherberry,2.7%,OR,4th,"9,052",Oregon 
/,/,Howard,1.8%,OR,4th,"6,075",Oregon 
/,/,Beilstein,1.8%,OR,4th,"6,033",Oregon 
incumbent,Republican,Chavez-DeRemer,51.0%,OR,5th,"178,813",Oregon 
/,Democratic,McLeod-Skinner,49.0%,OR,5th,"171,514",Oregon 
incumbent,Democratic,Salinas,50.1%,OR,6th,"147,156",Oregon 
/,Republican,Erickson,47.6%,OR,6th,"139,946",Oregon 
/,/,McFarland,2.3%,OR,6th,"6,762",Oregon 
incumbent,Republican,Fitzpatrick,54.9%,02,1st,"201,567",Pennsylvania 
/,Democratic,Ehasz,45.1%,02,1st,"165,796",Pennsylvania 
incumbent,Democratic,Boyle,75.7%,02,2nd,"141,229",Pennsylvania 
/,Republican,Bashir,24.3%,02,2nd,"45,454",Pennsylvania 
incumbent,Democratic,Evans,95.1%,02,3rd,"251,116",Pennsylvania 
/,/,Hoeppner,4.9%,02,3rd,"12,820",Pennsylvania 
incumbent,Democratic,Dean,61.3%,02,4th,"224,799",Pennsylvania 
/,Republican,Nascimento,38.7%,02,4th,"141,986",Pennsylvania 
incumbent,Democratic,Scanlon,65.1%,02,5th,"205,128",Pennsylvania 
/,Republican,Galluch,34.9%,02,5th,"110,058",Pennsylvania 
incumbent,Democratic,Houlahan,58.3%,02,6th,"190,386",Pennsylvania 
/,Republican,Ciarrocchi,41.7%,02,6th,"136,097",Pennsylvania 
incumbent,Democratic,Wild,51.0%,02,7th,"151,358",Pennsylvania 
/,Republican,Scheller,49.0%,02,7th,"145,523",Pennsylvania 
incumbent,Democratic,Cartwright,51.2%,02,8th,"146,502",Pennsylvania 
/,Republican,Bognet,48.8%,02,8th,"139,468",Pennsylvania 
incumbent,Republican,Meuser,69.3%,02,9th,"208,413",Pennsylvania 
/,Democratic,Waldman,30.7%,02,9th,"92,258",Pennsylvania 
incumbent,Republican,Perry,53.9%,02,10th,"168,810",Pennsylvania 
/,Democratic,Daniels,46.1%,02,10th,"144,161",Pennsylvania 
incumbent,Republican,Smucker,61.6%,02,11th,"194,392",Pennsylvania 
/,Democratic,Hollister,38.4%,02,11th,"121,089",Pennsylvania 
incumbent,Democratic,Lee,56.2%,02,12th,"184,674",Pennsylvania 
/,Republican,Doyle,43.8%,02,12th,"143,846",Pennsylvania 
incumbent,Republican,Joyce,0,02,13th,0,Pennsylvania 
incumbent,Republican,Reschenthaler,0,02,14th,0,Pennsylvania 
incumbent,Republican,Thompson,70.0%,02,15th,"213,818",Pennsylvania 
/,Democratic,Molesevich,30.0%,02,15th,"91,670",Pennsylvania 
incumbent,Republican,Kelly,59.4%,02,16th,"190,064",Pennsylvania 
/,Democratic,Pastore,40.6%,02,16th,"130,003",Pennsylvania 
incumbent,Democratic,Deluzio,53.4%,02,17th,"193,393",Pennsylvania 
/,Republican,Shaffer,46.6%,02,17th,"168,902",Pennsylvania 
incumbent,Democratic,Cicilline,64.1%,RI,1st,"99,802",Rhode Island 
/,Republican,Waters,35.9%,RI,1st,"55,909",Rhode Island 
incumbent,Democratic,Magaziner,50.5%,RI,2nd,"100,919",Rhode Island 
/,Republican,Fung,46.8%,RI,2nd,"93,637",Rhode Island 
